Date,Product Name,Order Value,Planet
1/1/2243,TARDIS Controls,30000,Gallifrey
1/1/2243,Sonic Screwdrivers,25000,Gallifrey
1/1/2243,Time Vortex Manipulators,35000,Gallifrey
1/1/2243,Dalek Blasters,15000,Gallifrey
1/1/2243,Psychic Papers,15000,Gallifrey
1/2/2243,TARDIS Controls,31000,Gallifrey
1/2/2243,Sonic Screwdrivers,25000,Gallifrey
1/2/2243,Time Vortex Manipulators,35000,Gallifrey
1/2/2243,Dalek Blasters,15000,Gallifrey
1/2/2243,Psychic Papers,15000,Gallifrey
1/4/2243,TARDIS Controls,20000,Skaro
1/4/2243,Sonic Screwdrivers,18000,Skaro
1/4/2243,Time Vortex Manipulators,25000,Skaro
1/4/2243,Dalek Blasters,12000,Skaro
1/4/2243,Psychic Papers,10000,Skaro
1/5/2243,TARDIS Controls,20000,Skaro
1/5/2243,Sonic Screwdrivers,18000,Skaro
1/5/2243,Time Vortex Manipulators,25000,Skaro
1/5/2243,Dalek Blasters,12000,Skaro
1/5/2243,Psychic Papers,10200,Skaro
1/7/2243,TARDIS Controls,22000,Krop Tor
1/7/2243,Sonic Screwdrivers,20000,Krop Tor
1/7/2243,Time Vortex Manipulators,28000,Krop Tor
1/7/2243,Dalek Blasters,13000,Krop Tor
1/7/2243,Psychic Papers,12000,Krop Tor
1/8/2243,TARDIS Controls,22000,Krop Tor
1/8/2243,Sonic Screwdrivers,20000,Krop Tor
1/8/2243,Time Vortex Manipulators,28000,Krop Tor
1/8/2243,Dalek Blasters,13000,Krop Tor
1/8/2243,Psychic Papers,12000,Krop Tor
1/10/2243,TARDIS Controls,18000,The Moon
1/10/2243,Sonic Screwdrivers,15000,The Moon
1/10/2243,Time Vortex Manipulators,22000,The Moon
1/10/2243,Dalek Blasters,10000,The Moon
1/10/2243,Psychic Papers,9000,The Moon
1/11/2243,TARDIS Controls,18000,The Moon
1/11/2243,Sonic Screwdrivers,15000,The Moon
1/11/2243,Time Vortex Manipulators,21000,The Moon
1/11/2243,Dalek Blasters,10000,The Moon
1/11/2243,Psychic Papers,9000,The Moon
1/13/2243,TARDIS Controls,16000,Trenzalore
1/13/2243,Sonic Screwdrivers,14000,Trenzalore
1/13/2243,Time Vortex Manipulators,20000,Trenzalore
1/13/2243,Dalek Blasters,9000,Trenzalore
1/13/2243,Psychic Papers,8000,Trenzalore
1/14/2243,TARDIS Controls,16000,Trenzalore
1/14/2243,Sonic Screwdrivers,13500,Trenzalore
1/14/2243,Time Vortex Manipulators,20000,Trenzalore
1/14/2243,Dalek Blasters,9000,Trenzalore
1/14/2243,Psychic Papers,8000,Trenzalore
